,timeBgn,timeEnd,IRGA_lvl01_Co2_mu,IRGA_lvl01_Co2_mx,IRGA_lvl01_Co2_mn,IRGA_lvl01_Co2_vr,IRGA_lvl01_Co2_n,IRGA_lvl02_Co2_mu,IRGA_lvl02_Co2_mx,IRGA_lvl02_Co2_mn,IRGA_lvl02_Co2_vr,IRGA_lvl02_Co2_n,IRGA_lvl03_Co2_mu,IRGA_lvl03_Co2_mx,IRGA_lvl03_Co2_mn,IRGA_lvl03_Co2_vr,IRGA_lvl03_Co2_n,IRGA_lvl04_Co2_mu,IRGA_lvl04_Co2_mx,IRGA_lvl04_Co2_mn,IRGA_lvl04_Co2_vr,IRGA_lvl04_Co2_n,IRGA_lvl05_Co2_mu,IRGA_lvl05_Co2_mx,IRGA_lvl05_Co2_mn,IRGA_lvl05_Co2_vr,IRGA_lvl05_Co2_n,IRGA_lvl06_Co2_mu,IRGA_lvl06_Co2_mx,IRGA_lvl06_Co2_mn,IRGA_lvl06_Co2_vr,IRGA_lvl06_Co2_n,isoCO2_lvl01_dryCo2_mu,isoCO2_lvl01_dryCo2_mx,isoCO2_lvl01_dryCo2_mn,isoCO2_lvl01_dryCo2_vr,isoCO2_lvl01_dryCo2_n,isoCO2_lvl02_dryCo2_mu,isoCO2_lvl02_dryCo2_mx,isoCO2_lvl02_dryCo2_mn,isoCO2_lvl02_dryCo2_vr,isoCO2_lvl02_dryCo2_n,isoCO2_lvl03_dryCo2_mu,isoCO2_lvl03_dryCo2_mx,isoCO2_lvl03_dryCo2_mn,isoCO2_lvl03_dryCo2_vr,isoCO2_lvl03_dryCo2_n,isoCO2_lvl04_dryCo2_mu,isoCO2_lvl04_dryCo2_mx,isoCO2_lvl04_dryCo2_mn,isoCO2_lvl04_dryCo2_vr,isoCO2_lvl04_dryCo2_n,isoCO2_lvl05_dryCo2_mu,isoCO2_lvl05_dryCo2_mx,isoCO2_lvl05_dryCo2_mn,isoCO2_lvl05_dryCo2_vr,isoCO2_lvl05_dryCo2_n,isoCO2_lvl06_dryCo2_mu,isoCO2_lvl06_dryCo2_mx,isoCO2_lvl06_dryCo2_mn,isoCO2_lvl06_dryCo2_vr,isoCO2_lvl06_dryCo2_n,isoCO2_lvl01_iCo2_mu,isoCO2_lvl01_iCo2_mx,isoCO2_lvl01_iCo2_mn,isoCO2_lvl01_iCo2_vr,isoCO2_lvl01_iCo2_n,isoCO2_lvl02_iCo2_mu,isoCO2_lvl02_iCo2_mx,isoCO2_lvl02_iCo2_mn,isoCO2_lvl02_iCo2_vr,isoCO2_lvl02_iCo2_n,isoCO2_lvl03_iCo2_mu,isoCO2_lvl03_iCo2_mx,isoCO2_lvl03_iCo2_mn,isoCO2_lvl03_iCo2_vr,isoCO2_lvl03_iCo2_n,isoCO2_lvl04_iCo2_mu,isoCO2_lvl04_iCo2_mx,isoCO2_lvl04_iCo2_mn,isoCO2_lvl04_iCo2_vr,isoCO2_lvl04_iCo2_n,isoCO2_lvl05_iCo2_mu,isoCO2_lvl05_iCo2_mx,isoCO2_lvl05_iCo2_mn,isoCO2_lvl05_iCo2_vr,isoCO2_lvl05_iCo2_n,isoCO2_lvl06_iCo2_mu,isoCO2_lvl06_iCo2_mx,isoCO2_lvl06_iCo2_mn,isoCO2_lvl06_iCo2_vr,isoCO2_lvl06_iCo2_n,Lvl01_tempAir_mu,Lvl01_tempAir_vr,Lvl02_tempAir_mu,Lvl02_tempAir_vr,Lvl03_tempAir_mu,Lvl03_tempAir_vr,Lvl04_tempAir_mu,Lvl04_tempAir_vr,Lvl05_tempAir_mu,Lvl05_tempAir_vr,EC_co2FlxStor,EC_co2FlxTurb,EC_co2FlxNSAE
0,2019-11-24 00:00:00,2019-11-24 00:29:59,433.3069892050055,437.84148207866104,428.115723965665,5.251608420167095,117,430.4541448210069,440.037266733562,424.961635533814,7.6051906521139045,176,427.9246159819721,431.88675521796705,423.793856944872,2.780262030460697,118,426.9430479350867,432.05769760353195,421.99018768425697,4.269459134423868,234,422.0435250210883,431.406945564995,393.97694689047,97.5736042886807,287,428.013677526745,432.13551345368097,424.09897877032,2.380345051944724,176,436.364591127451,442.071014,432.07501199999996,4.789626132619532,306,432.61786559016394,434.60699500000004,431.226013,0.7159212109495112,305,432.9239534177215,435.535004,431.74798599999997,0.9322784539002931,237,,,,,0,,,,,0,431.3818232941177,431.899994,430.976013,0.049222139907606946,34,-9.735986908267973,-7.82299995,-11.8940001,0.43738957849028437,306,-9.643650342287582,-7.73500013,-11.118,0.35403201959694075,306,-9.710676482941176,-7.7420001,-11.9560003,0.4801257594526391,238,,,,,0,,,,,0,-9.595029327941177,-7.98099995,-11.099,0.6562952968478267,34,8.7755,0.0583,9.2298,0.0359,9.222,0.025,9.2085,0.0222,9.1738,0.0213,13.673060594183097,0.9399376300581685,14.612998224241265
1,2019-11-24 00:30:00,2019-11-24 00:59:59,432.3468631790826,440.179115580119,424.358927600491,8.821591658671062,235,428.18072636995623,434.486452763379,422.984427644177,4.869187453426756,234,427.746219238605,431.323335312133,422.595986585937,2.5816735372502086,234,427.55834072586845,431.219460619995,423.151953806164,2.305993302081739,175,426.9052824637154,431.819621171942,421.912737696297,3.034117086667497,123,427.6944308428891,432.625800427701,422.10549633571304,2.9720046322441243,117,,,,,0,,,,,0,430.65503121212123,430.942993,430.437012,0.014058769566173005,33,430.72764706535946,432.123993,430.178986,0.09491840780169467,306,430.7120754215686,431.175995,430.194,0.029170135733287327,306,430.8513171605839,431.77600099999995,430.21701,0.06866644782173106,274,,,,,0,,,,,0,-9.911181848484848,-8.42500019,-11.6269999,0.5712172200021698,33,-9.615428125686275,-7.90299988,-11.4219999,0.3780444642984755,306,-9.60636600127451,-7.86000013,-11.5349998,0.43713340990269517,306,-9.670857657445255,-7.99800014,-11.5830002,0.43063484917838507,274,8.3953,0.0239,8.8741,0.0161,8.8435,0.0162,8.8255,0.0158,8.7853,0.0164,-0.6339126224914976,0.6051529104501414,-0.02875971204135619
2,2019-11-24 01:00:00,2019-11-24 01:29:59,431.57067519420497,435.053350954718,424.56516315668904,4.0822499426288035,56,428.30295155647667,434.728896343224,422.56371993466604,3.8719379853766966,234,428.7787871660345,432.911885103399,424.47423774776297,3.302084888368798,117,427.25983738926476,432.551379101259,422.678753549958,3.087504673647602,234,427.7716638332085,433.913849729797,421.995193375221,3.8231698880272997,234,427.9856334144488,431.55763609440504,422.942989417776,3.047697013741861,208,437.12264437908493,441.744995,431.966003,5.580346713917027,306,432.69718388122607,436.122009,430.677002,1.1559226040549446,261,430.86721277655676,432.359009,430.24600200000003,0.10170565939558601,273,,,,,0,,,,,0,432.80528742857143,433.059998,432.533997,0.017168486100780762,35,-9.903535948954248,-7.96199989,-11.6890001,0.39991009670075606,306,-9.774379295478926,-8.12899971,-11.8409996,0.4213428784444636,261,-9.602901064285714,-7.59700012,-11.3610001,0.3935070257054512,273,,,,,0,,,,,0,-9.917371534285714,-8.85499954,-10.7880001,0.22961502940949705,35,8.1989,0.0171,8.4603,0.0399,8.4001,0.0423,8.3603,0.0437,8.3125,0.0459,1.8573012583423634,0.43279145795014334,2.2900927162925067
3,2019-11-24 01:30:00,2019-11-24 01:59:59,437.70393105059105,448.46312883705104,423.200189030153,18.558332716619567,228,432.2470694898659,438.573982258644,420.876883348843,4.599205168471092,225,431.04995110925347,437.336022419804,426.490113631337,4.312133799361266,235,429.4651697110638,433.731183641229,425.17735114829003,2.725093446649072,181,428.7322022969153,432.468748487609,425.70559102630597,1.7424198663175257,53,430.53498058941426,435.274390624842,425.524968092419,2.3161318039028784,235,,,,,0,,,,,0,433.6768807352941,434.464996,433.20901499999997,0.11050187416050468,34,433.73503293485345,435.139008,433.091003,0.17026572822911243,307,433.32409160869565,435.17001300000004,432.70901499999997,0.15825689993722147,276,432.91644195970696,433.825012,432.34799200000003,0.05858765892781799,273,,,,,0,,,,,0,-9.725823485588235,-8.31299973,-10.8669996,0.3815319887937268,34,-9.785748367908496,-7.92299986,-11.8310003,0.4674769531934407,306,-9.725090249891696,-7.96400023,-11.4289999,0.39404349145377476,277,-9.651300351978023,-8.00599957,-11.3380003,0.4229178372299741,273,7.6208,0.0126,7.7045,0.0168,7.6367,0.0162,7.5977,0.0162,7.5471,0.0161,2.8752362292330225,-0.9573141393838972,1.9179220898491254
4,2019-11-24 02:00:00,2019-11-24 02:29:59,445.32790253630515,449.730460547575,438.863375006663,6.935628047468156,117,436.7044492163838,442.89296948095796,430.450786475037,4.76522606677365,177,435.3430090630427,442.09541945148,429.82504510625796,5.386934938524092,117,432.83585175829757,438.228180112203,427.88934041329304,3.4546418170994544,234,432.18492941183024,437.161193625566,425.63582650934,3.5257787562340335,293,433.470873367894,438.228090738297,428.04893017634396,3.3726099649987056,176,443.69911741830066,449.096008,436.658997,4.919042566680531,306,436.3103118426229,441.041992,433.089996,3.333607209450645,305,434.15985452189784,437.003998,432.68100000000004,0.7134752826469448,274,,,,,0,,,,,0,433.4652450909091,433.752014,433.026001,0.0289206613132736,33,-10.14967975993464,-7.8210001,-11.8260002,0.41712946539013246,306,-9.814918040885246,-7.49599981,-11.5100002,0.4096233120584475,305,-9.849886868832117,-7.98000002,-11.4169998,0.4041823583357064,274,,,,,0,,,,,0,-9.764606100909091,-8.56999969,-10.7060003,0.23387226538869094,33,7.261,0.0112,7.314,0.0201,7.2452,0.0194,7.2008,0.0189,7.1513,0.0182,1.6635577356356581,0.17656976306392935,1.8401274986995875
5,2019-11-24 02:30:00,2019-11-24 02:59:59,438.51804197835924,445.524134528725,433.2731084299,6.468984727863913,234,434.71115546116044,441.555261188036,429.293852032536,5.99431316998738,234,433.6735117268451,439.537743951493,428.541014148341,3.254248496242996,235,433.0143394446033,438.163002940169,428.29301451073,3.234185415851988,176,433.03712555578954,437.492201826982,428.264461622467,3.465299280161834,58,432.70201705152584,438.399992267086,428.208213840169,2.8863425581792774,234,,,,,0,,,,,0,433.663734,434.140991,432.946991,0.08524390949327058,34,433.3914715276873,434.269012,432.76300000000003,0.10070727635692923,307,433.4450463006536,435.369995,432.598999,0.2767326701108528,306,433.6257300036496,434.483002,432.81100499999997,0.10456099679419399,274,,,,,0,,,,,0,-9.573823623529412,-8.44099998,-10.7270002,0.37663157473599596,34,-9.751006535784313,-8.13599968,-11.6420002,0.35469896567249315,306,-9.67361689172078,-8.05700016,-11.4420004,0.34270535565596644,308,-9.785065690437957,-7.95800018,-11.8009996,0.4300498222332862,274,6.9468,0.0251,6.9849,0.0282,6.8881,0.0334,6.8327,0.0331,6.7758,0.0342,-1.7226937856022413,-1.5143714929653638,-3.237065278567605
6,2019-11-24 03:00:00,2019-11-24 03:29:59,436.0497791552776,444.35446472164904,430.578930537973,6.931546640575507,236,432.7514542143967,437.885294007599,428.471743011851,3.258643361187766,176,431.3294821433134,435.160310155021,427.825367782076,2.1894235487823552,117,431.80832391171896,435.898980409533,426.79780930919804,2.709358801644326,234,431.8224261397173,435.888025008587,428.05694919002104,2.4717679368055396,236,431.70976149783763,434.74746339342903,428.053845880305,2.2038475250577414,117,436.6015820051546,439.067993,434.424011,1.2349343437222118,194,433.6061865228758,436.139008,432.182007,0.6676840578506771,306,433.2068356970803,434.85199,432.381012,0.19258414877160474,274,,,,,0,,,,,0,432.6459588561644,433.194,432.078003,0.02854857232398716,146,-10.046701043195876,-8.26299953,-12.1450005,0.4133990087229705,194,-9.709009796470589,-7.83599997,-11.6120005,0.4441114593708073,306,-9.716883237481753,-7.98400021,-11.3769999,0.42020977920089536,274,,,,,0,,,,,0,-9.728500020068493,-8.20100021,-11.9239998,0.5073687483022177,146,6.331,0.0205,6.3461,0.0196,6.2405,0.0188,6.1771,0.0192,6.1208,0.0191,-0.9300344254064006,0.03567566304212943,-0.8943587623642711
7,2019-11-24 03:30:00,2019-11-24 03:59:59,438.19673703486563,444.47190782102996,430.546658809767,8.23690506272614,234,432.8789186539003,441.71367573417,427.768330618038,4.5741692555419755,234,431.9929437345824,437.464771624762,427.627037244376,3.0754155562530467,235,431.0764636973465,435.185678491288,427.494528985849,2.522808207268875,117,431.30718359772266,436.504110921161,426.86606034087504,2.519924925647465,235,431.1786030005007,435.459404780247,427.197539090327,2.937969129365911,118,,,,,0,,,,,0,434.20472336805557,437.52301,432.541992,1.3016491937558863,144,433.2212547198697,435.265015,432.41101100000003,0.34051627246770616,307,432.68396029801323,433.381012,432.278992,0.04273566504472197,302,432.63841909999996,433.059998,432.11099199999995,0.034299114626191715,160,,,,,0,,,,,0,-9.878599987724138,-8.21700001,-11.6149998,0.4341927411560276,145,-9.78248210723127,-8.04100037,-11.3299999,0.3473693938994672,307,-9.643503262810457,-7.90899992,-11.5010004,0.40972919932480756,306,-9.700337506375,-8.05700016,-11.6440001,0.40196768822605733,160,6.0375,0.0063,6.029,0.0104,5.9234,0.0107,5.8568,0.0109,5.7965,0.0112,0.08798670874536234,0.5593580501890179,0.6473447589343801
8,2019-11-24 04:00:00,2019-11-24 04:29:59,433.2142821174972,438.89929924378004,426.273642409664,6.236912452901956,119,433.218302363642,437.615112834196,428.70745406097,4.06594552695801,117,428.95906781430125,434.908708898229,424.344760623336,4.120495961891832,235,429.8930574922441,435.129055230208,423.96165063822104,4.219819130512193,234,429.69350707807524,435.486697815079,425.301415057805,3.860326521773367,234,429.6528854625007,434.58951525238797,423.531323892351,3.346732719358914,233,434.7386566503268,438.37298599999997,432.446014,1.8085485152778331,306,433.20850829836064,435.977997,431.292999,1.0533781068442225,305,433.4362773765432,435.665009,432.22500599999995,0.6023562244909054,162,,,,,0,,,,,0,430.65876527586204,431.696991,430.255005,0.06071301834861689,145,-9.80199675104575,-7.7329998,-11.3999996,0.3969773864964393,306,-9.653279594572368,-7.49700022,-11.6689997,0.458129030674497,304,-9.863456796666666,-8.15799999,-11.3780003,0.44262016488443773,162,,,,,0,,,,,0,-9.682506834657534,-8.24400043,-11.0179996,0.3234494668251868,146,5.6834,0.0191,5.6399,0.0174,5.5206,0.0182,5.4436,0.0195,5.3796,0.0208,-2.07534962778627,-0.024265403402255557,-2.0996150311885255
9,2019-11-24 04:30:00,2019-11-24 04:59:59,435.34013809245204,442.394820848842,429.759945396509,6.1209547443920735,308,429.63584947517194,435.435463335801,423.87966746841397,3.7162234190320085,234,427.7447092588325,433.49202550886804,422.49889007998104,3.103466502331774,176,429.42077651446243,434.441401513527,425.325825276614,2.985161082466803,118,427.30097166280285,433.034320544878,422.731169230006,3.2739473078266528,220,427.54582587568956,432.27008410573,423.98776343433104,2.3310008924155774,117,,,,,0,,,,,0,430.9838018013699,434.519989,429.536987,1.6345135324100892,146,430.3855645915032,432.261993,429.290985,0.32434152658378496,306,430.61728245723685,432.263,429.734009,0.3165160186386049,304,430.8091292962963,432.17498800000004,430.042999,0.21140595103442034,162,,,,,0,,,,,0,-9.561143854931506,-7.91699982,-11.3940001,0.44923374243828884,146,-9.670019528925081,-8.21399975,-11.3579998,0.3977016149509811,307,-9.442493440098684,-7.60500002,-11.1059999,0.38077714980069405,304,-9.577185198271605,-7.96400023,-10.8389997,0.3806779022931162,162,5.1491,0.0326,5.0143,0.0286,4.8738,0.0252,4.8207,0.0204,4.763,0.0178,-1.4078464580969356,-2.4647224743121714,-3.872568932409107
